Time,Signal
-0.003804,0.4
-0.0038,0.4
-0.003796,0.4
-0.003792,0.4
-0.003788,0.4
-0.003784,0.4
-0.00378,0.4
-0.003776,0.4
-0.003772,0.4
-0.003768,0.4
-0.003764,0.4
-0.00376,0.4
-0.003756,0.4
-0.003752,0.4
-0.003748,0.4
-0.003744,0.8
-0.00374,0.4
-0.003736,0.8
-0.003732,0.8
-0.003728,0.8
-0.003724,0.8
-0.00372,0.8
-0.003716,0.8
-0.003712,0.4
-0.003708,0.8
-0.003704,0.8
-0.0037,0.8
-0.003696,0.8
-0.003692,1.2
-0.003688,1.2
-0.003684,0.8
-0.00368,1.2
-0.003676,0.8
-0.003672,1.2
-0.003668,1.2
-0.003664,0.8
-0.00366,1.2
-0.003656,1.2
-0.003652,1.2
-0.003648,1.2
-0.003644,1.2
-0.00364,0.8
-0.003636,1.2
-0.003632,1.2
-0.003628,1.2
-0.003624,1.2
-0.00362,1.2
-0.003616,1.6
-0.003612,1.6
-0.003608,1.2
-0.003604,1.6
-0.0036,1.6
-0.003596,1.6
-0.003592,1.6
-0.003588,1.6
-0.003584,1.6
-0.00358,1.6
-0.003576,1.6
-0.003572,1.6
-0.003568,1.6
-0.003564,1.6
-0.00356,1.2
-0.003556,1.6
-0.003552,1.6
-0.003548,1.6
-0.003544,1.6
-0.00354,1.6
-0.003536,1.6
-0.003532,1.6
-0.003528,1.6
-0.003524,2.0
-0.00352,1.6
-0.003516,1.6
-0.003512,2.0
-0.003508,2.0
-0.003504,2.0
-0.0035,2.0
-0.003496,2.0
-0.003492,1.6
-0.003488,2.0
-0.003484,2.0
-0.00348,2.0
-0.003476,1.6
-0.003472,2.0
-0.003468,2.0
-0.003464,2.0
-0.00346,2.0
-0.003456,2.0
-0.003452,2.0
-0.003448,2.0
-0.003444,2.0
-0.00344,2.0
-0.003436,2.0
-0.003432,2.0
-0.003428,2.0
-0.003424,2.0
-0.00342,2.0
-0.003416,2.0
-0.003412,2.0
-0.003408,2.4
-0.003404,2.0
-0.0034,2.4
-0.003396,2.0
-0.003392,2.4
-0.003388,2.4
-0.003384,2.0
-0.00338,2.4
-0.003376,2.0
-0.003372,2.0
-0.003368,2.0
-0.003364,2.0
-0.00336,2.4
-0.003356,2.4
-0.003352,2.4
-0.003348,2.4
-0.003344,2.4
-0.00334,2.4
-0.003336,2.4
-0.003332,2.4
-0.003328,2.4
-0.003324,2.4
-0.00332,2.4
-0.003316,2.4
-0.003312,2.4
-0.003308,2.4
-0.003304,2.4
-0.0033,2.4
-0.003296,2.8
-0.003292,2.8
-0.003288,2.4
-0.003284,2.4
-0.00328,2.4
-0.003276,2.4
-0.003272,2.4
-0.003268,2.4
-0.003264,2.4
-0.00326,2.4
-0.003256,2.4
-0.003252,2.8
-0.003248,2.4
-0.003244,2.4
-0.00324,2.4
-0.003236,2.8
-0.003232,2.8
-0.003228,2.8
-0.003224,2.4
-0.00322,2.4
-0.003216,2.4
-0.003212,2.8
-0.003208,2.4
-0.003204,2.8
-0.0032,2.8
-0.003196,2.4
-0.003192,2.4
-0.003188,2.8
-0.003184,2.8
-0.00318,2.4
-0.003176,2.8
-0.003172,2.8
-0.003168,2.4
-0.003164,2.4
-0.00316,2.4
-0.003156,2.8
-0.003152,2.4
-0.003148,2.8
-0.003144,2.8
-0.00314,2.4
-0.003136,2.8
-0.003132,2.8
-0.003128,2.8
-0.003124,2.8
-0.00312,2.4
-0.003116,2.8
-0.003112,2.8
-0.003108,2.4
-0.003104,2.8
-0.0031,2.8
-0.003096,2.8
-0.003092,2.8
-0.003088,2.8
-0.003084,2.8
-0.00308,2.8
-0.003076,2.8
-0.003072,2.4
-0.003068,2.4
-0.003064,2.4
-0.00306,2.8
-0.003056,2.8
-0.003052,2.8
-0.003048,2.8
-0.003044,2.8
-0.00304,2.8
-0.003036,2.4
-0.003032,2.8
-0.003028,2.8
-0.003024,2.8
-0.00302,2.8
-0.003016,2.4
-0.003012,2.8
-0.003008,2.8
-0.003004,2.4
-0.003,2.4
-0.002996,2.8
-0.002992,2.4
-0.002988,2.4
-0.002984,2.8
-0.00298,2.4
-0.002976,2.4
-0.002972,2.8
-0.002968,2.8
-0.002964,2.4
-0.00296,2.8
-0.002956,2.4
-0.002952,2.4
-0.002948,2.4
-0.002944,2.4
-0.00294,2.4
-0.002936,2.4
-0.002932,2.4
-0.002928,2.8
-0.002924,2.8
-0.00292,2.4
-0.002916,2.4
-0.002912,2.4
-0.002908,2.4
-0.002904,2.4
-0.0029,2.8
-0.002896,2.4
-0.002892,2.4
-0.002888,2.8
-0.002884,2.4
-0.00288,2.4
-0.002876,2.4
-0.002872,2.4
-0.002868,2.4
-0.002864,2.4
-0.00286,2.4
-0.002856,2.4
-0.002852,2.4
-0.002848,2.8
-0.002844,2.4
-0.00284,2.4
-0.002836,2.4
-0.002832,2.4
-0.002828,2.4
-0.002824,2.4
-0.00282,2.4
-0.002816,2.4
-0.002812,2.4
-0.002808,2.4
-0.002804,2.4
-0.0028,2.4
-0.002796,2.4
-0.002792,2.4
-0.002788,2.0
-0.002784,2.0
-0.00278,2.4
-0.002776,2.4
-0.002772,2.4
-0.002768,2.4
-0.002764,2.4
-0.00276,2.4
-0.002756,2.4
-0.002752,2.4
-0.002748,2.0
-0.002744,2.4
-0.00274,2.0
-0.002736,2.4
-0.002732,2.0
-0.002728,2.0
-0.002724,2.4
-0.00272,2.4
-0.002716,2.4
-0.002712,2.4
-0.002708,2.0
-0.002704,2.4
-0.0027,2.0
-0.002696,2.0
